Epoch,LR,Train_Loss,Val_Total,Val_Temp,Val_Press,Val_Velocity
1,0.0001,0.0237704711034894,0.013192037586122751,0.0027153566479682922,0.0052287599828559905,0.02182302763685584
2,0.0001,0.00792669239595081,0.0054720984771847725,0.001452325755963102,0.006254269857890904,0.0070190675323829055
3,0.0001,0.004422159350448937,0.0036246045492589474,0.0008361648360732943,0.004645625711418688,0.004496676498092711
4,0.0001,0.003039292059838772,0.0025868411757983267,0.0004959761499776505,0.0022919598559383303,0.003586087317671627
5,0.0001,0.0021906893375809445,0.0017673445690888911,0.00046925862261559814,0.0012030978396069258,0.0024795352946966887
6,0.0001,0.0015881598122756589,0.0011844518303405493,0.00041546063584974036,0.0008023455156944692,0.001578007242642343
7,0.0001,0.0012375264954188783,0.000891777832293883,0.00041193464130628854,0.0010151045862585306,0.0010402249172329903
8,0.0001,0.0010951624188402836,0.0006188401748659089,0.00035543222475098446,0.0004218889953335747,0.0007814595446689054
9,0.0001,0.0009461594128162798,0.0007271191861946136,0.00037768229231005535,0.0018679401837289333,0.0005597166600637138
10,0.0001,0.0008718701040682694,0.002069631009362638,0.0006385997694451362,0.00961796659976244,0.0005760292697232217
11,0.0001,0.0008032091506968507,0.0003341067349538207,0.0002296647144248709,0.0003295992391940672,0.00038418295298470184
12,0.0001,0.0006842279311086079,0.0002879357598430943,0.00020005591068184003,0.0003320953401271254,0.0003195640674675815
13,0.0001,0.0006655631234135592,0.00025001427638926543,0.00017790345737012103,0.00025825008560786955,0.0002875327700166963
14,0.0001,0.0005303483212077426,0.0002986023901030421,0.00017008997019729577,0.0006380610648193397,0.00026803660148289055
15,0.0001,0.0006678430870648078,0.0002522542235965375,0.00016782473903731443,0.000504444855323527,0.00023149979824665934
16,0.0001,0.0005772707950337931,0.0002047908383246977,0.0001430293395969784,0.000196623788724537,0.0002449305757181719
17,0.0001,0.0005448984871195121,0.000300223364320118,0.00012803542813344393,0.0008756009920034558,0.00022103096853243187
18,0.0001,0.0004974182793927012,0.00028436226421035826,0.00012346254516160116,0.0008291494305012748,0.00021218542315182276
19,0.0001,0.0006665352411800995,0.00019832107500405982,0.00012739743760903366,0.00039579140138812363,0.000188482732482953
20,0.0001,0.0005419833826387978,0.0002853859150491189,0.00011273511336185038,0.0008884280541678891,0.0002022605222009588
21,0.0001,0.0005036638926178442,0.00031794464302947745,0.0001255285806109896,0.001096764870453626,0.00019442325356067158
22,0.0001,0.0005423613783381315,0.0002432913715892937,0.00014092216406424996,0.0007647252205060795,0.00015435220848303288
23,0.0001,0.000653450685521503,0.0002876643920899369,0.0001477080186305102,0.0008069642935879529,0.0002259589782624971
24,0.0001,0.0006234498265037088,0.00013603839397546835,0.0001355973508907482,0.00014066087715036701,0.00014961395027057733
25,0.0001,0.0003690668875633767,0.0001301483189308783,0.00010897445463342592,0.00018456165889801923,0.00013367155770538375
26,0.0001,0.00044261895990613,0.0001888314181996975,0.00011219005864404608,0.0004953398674842902,0.00014580870629288256
27,0.0001,0.0003935199340710162,0.00013430652325041592,0.00012568001147883479,0.000170918263393105,0.00014137594916974194
28,0.0001,0.00042071369049760204,0.0002907863017753698,0.00012355877697700635,0.0012164801155449823,0.0001099387100111926
29,0.0001,0.00041362490182192147,0.0001879876981547568,0.00012038113163725939,0.0006124056199041661,0.0001070086109393742
30,0.0001,0.0004171415145692387,0.0004506843433773611,0.0001979805965675041,0.0016527525149285793,0.00024941033552750014
31,0.0001,0.00043467683942501685,0.0002248206474178005,0.00014197092059475835,0.0005815339245600626,0.00017688080333755352
32,0.0001,0.0003627632084482519,0.00010838877642527223,0.0001103398190025473,0.00015081675883266144,0.00010690575436456129
33,0.0001,0.0003726527403077026,0.00027493231027619913,0.00014937709420337342,0.0009297662909375504,0.00016168711408681702
34,0.0001,0.0004350665342027434,0.00017489120364189148,0.00011116194400528912,0.0005446732830023393,0.0001078777204384096
35,0.0001,0.00036291433758433965,0.0001829519351304043,0.00010793641740747262,0.00048719387996243313,0.0001375538431602763
36,0.0001,0.0003522374377511865,0.00015127599544939585,9.887808482744731e-05,0.00038044046232244,0.00011770150922529865
37,0.0001,0.00036826092510829875,0.00012360749678919092,0.00010614068105496699,0.00023201632575364783,0.0001105168994399719
38,0.0001,0.00045531114235266364,0.00012576731933222618,0.00011790197459049523,0.00019849596719723195,0.00012022884038742632
39,0.0001,0.0003587470679177028,0.00015601889754179865,9.614516602596268e-05,0.0004465753445401788,0.00010525989091547672
40,0.0001,0.0003504598575862915,7.67195215303218e-05,8.798125418252312e-05,8.491924199915957e-05,7.658295999135589e-05
41,0.0001,0.00028722799558608767,0.00010474492046341766,0.00010166750598727958,0.00018395213010080624,9.279797632189002e-05
42,0.0001,0.0003421581334833084,0.0001077165943570435,9.475177012063796e-05,0.000217503409658093,8.93903779797256e-05
43,0.0001,0.00027556583562259084,0.00010999538244504947,9.244777720596176e-05,0.0002820554145728238,7.533261941716773e-05
44,0.0001,0.0002980948673652937,0.00036172741965856403,0.00010372699216532055,0.0015935618430376053,0.00012633446567633655
45,0.0001,0.0003170261697960086,0.00033284895471297204,8.694329062564066e-05,0.0014724477077834308,0.00011963586257479619
46,0.0001,0.0003787196511632029,0.00013376137030718382,8.322657959070057e-05,0.00041117850196314976,8.142603655869607e-05
47,0.0001,0.00027379496609545174,0.00010380476305726916,9.158267766906647e-05,0.00028100638155592605,6.661309180344688e-05
48,0.0001,0.000282844495703819,0.00016305267490679398,8.519152925146045e-05,0.0006744037236785516,5.727308507630369e-05
49,0.0001,0.00042220745517900497,9.451689038542099e-05,9.234515709977131e-05,0.00011599702884268481,9.768767267814837e-05
50,0.0001,0.0003290982909454738,9.798877181310672e-05,9.451157347939443e-05,0.00020955476429662667,7.714487765042577e-05
51,0.0001,0.0003256809440878869,7.487350922019687e-05,8.073871504166164e-05,0.00011822764827229548,6.648633097938728e-05
52,0.0001,0.0002806165478735541,6.791579926357372e-05,8.113437161227921e-05,0.00010132017814612482,5.9812605286424514e-05
53,0.0001,0.00024337280708343977,7.580000965390354e-05,8.681261897436343e-05,0.00012446008622646332,6.410198420780944e-05
54,0.0001,0.00019879190464659283,8.45047616166994e-05,8.295591578644235e-05,0.0001806739946914604,6.321291039057542e-05
55,0.0001,0.0003020594123165321,0.0002510871672711801,8.136419000948081e-05,0.0011116830428363755,8.3589486166602e-05
56,0.0001,0.0002819795046172768,0.00023648719798075035,8.661709125590278e-05,0.0010277498367941007,8.137843815347878e-05
57,0.0001,0.0002552136954336399,0.00020521140322671272,8.366153997485526e-05,0.000867969574755989,7.506385372835211e-05
58,0.0001,0.0003607594365100588,0.00013138895701558795,7.748572897980921e-05,0.0005076989182271063,5.4194968470255844e-05
59,0.0001,0.0002952208903452353,6.180270247568842e-05,7.983465002325829e-05,8.925081237975974e-05,5.208832226344384e-05
60,0.0001,0.00030843422130353497,6.572947040694999e-05,8.107589746941812e-05,8.983345924207242e-05,5.913203949603485e-05
61,0.0001,0.00026578757961308867,6.067394315323327e-05,7.851636473787948e-05,8.845238698995672e-05,5.076291381556075e-05
62,0.0001,0.00022719644061219174,0.00030683086515637115,8.468206215184182e-05,0.0014195543335517868,9.26106240513036e-05
63,0.0001,0.0002500800286670159,8.527648060407955e-05,8.376709320145892e-05,0.00019166931087966077,6.20119953964604e-05
64,0.0001,0.00022917164747151688,5.221037099545356e-05,7.449000258930027e-05,6.519803810078884e-05,4.4613262616621796e-05
65,0.0001,0.00016232447050049703,7.21552432878525e-05,8.037902898649918e-05,0.0001523143182566855,5.243269606580725e-05
66,0.0001,0.00022718202396362992,6.811346065660473e-05,7.848972018109635e-05,0.00013552063592214836,5.099873487779405e-05
67,0.0001,0.00019573244869455019,8.598088243161328e-05,7.49875162000535e-05,0.000254160440817941,4.758537943416741e-05
68,0.0001,0.00017208907240384372,0.00022884256395627744,7.811374052835163e-05,0.0010234294750262052,7.242970514198532e-05
69,0.0001,0.00020822071548371406,6.105247121013235e-05,7.488707342417911e-05,0.000127207600598922,4.157412513450254e-05
70,0.0001,0.00020507003192147803,7.453711896232562e-05,7.583241585962242e-05,0.0001861405726231169,4.743225781567162e-05
71,0.0001,0.0002411824220458088,5.906314436288085e-05,7.624216868862277e-05,9.547330228087958e-05,4.724214886664413e-05
72,0.0001,0.000217874958087288,8.287011223728769e-05,7.278727753146086e-05,0.0002618818216433283,4.094124687981093e-05
73,0.0001,0.00015936383109268112,5.513293399417307e-05,7.12170358383446e-05,0.00011784696289396379,3.4966544262715615e-05
74,0.0001,0.00018519917516228318,4.918788090435555e-05,7.285638548637507e-05,6.670016409771051e-05,3.9071408536983654e-05
75,0.0001,0.00022733730778175718,8.421759957855102e-05,7.104669202817604e-05,0.00030190210964065045,3.269930584792746e-05
76,0.0001,0.0001515301120172918,0.00014580993229174055,7.166280920500867e-05,0.0006647401605732739,3.438362182350829e-05
77,0.0001,0.00026491889542684834,7.53858021198539e-05,7.462001121893991e-05,0.000227480661123991,3.7568250718322815e-05
78,0.0001,0.0002546606296108979,6.898108313180273e-05,7.067562091833679e-05,0.00018184234068030491,4.101885406271322e-05
79,0.0001,0.0002686494435968625,4.902346790913725e-05,6.833150018792367e-05,9.24190735531738e-05,3.304798428871436e-05
80,0.0001,0.00015112746019219753,0.00012231337677803822,7.206305144791258e-05,0.00048056199739221483,4.64868571725674e-05
81,0.0001,0.00023782941427656846,8.210520900320262e-05,7.053906119836029e-05,0.00025396034834557213,4.207142956147436e-05
82,0.0001,0.00021419245361660919,6.0164973547216505e-05,6.948928057681769e-05,0.00010761592875496717,4.9544789362698793e-05
83,0.0001,0.0002114802133071476,0.00016333727398887277,6.981488877499942e-05,0.0007368749793386087,4.529043599177385e-05
84,0.0001,0.00024472913234300603,4.4373633500072174e-05,6.837998353148578e-05,5.252792425380903e-05,3.711197769007413e-05
85,0.0001,0.0002223666407658267,0.000122226358143962,6.72219211992342e-05,0.0005399307847255841,3.0801434149907436e-05
86,0.0001,0.00019824807069116187,8.514383807778358e-05,6.593973375856876e-05,0.00031559033232042566,3.2499548524356214e-05
87,0.0001,0.00020487719787828004,7.978882240422536e-05,6.883505375299137e-05,0.0002600632724352181,3.760911340577877e-05
88,0.0001,0.00025991088213314384,5.5602814427402336e-05,6.473122448369395e-05,0.00011238934530410916,3.985947569162818e-05
89,0.0001,0.00015958172595922159,4.5412710278469604e-05,6.35530159343034e-05,8.513365446560783e-05,2.9346096198423766e-05
90,0.0001,0.00027436193913948074,0.00016148036229424179,6.407737782865297e-05,0.0007839682075427845,2.9727443688898347e-05
91,0.0001,0.00021345672487796313,5.8645388889999595e-05,6.107269291533157e-05,0.00017962004130822606,2.655425714692683e-05
92,0.0001,0.00024536692062886715,0.00018310467203264125,6.618375482503325e-05,0.0008452847541775554,4.9639667849987745e-05
93,0.0001,0.00020779658348835778,8.781413453107234e-05,6.468659194069915e-05,0.00032057565840659663,3.526071213855175e-05
94,0.0001,0.00027651975026608193,6.647865939157782e-05,6.686592769256094e-05,0.00014228466716303956,5.2352856982906815e-05
95,0.0001,0.0003238611640302803,6.168419531604741e-05,6.29586611466948e-05,0.0001503086750744842,4.0940124563348945e-05
96,0.0001,0.0002022131943015142,4.400232955958927e-05,5.8754265410243534e-05,7.675380402361043e-05,3.180272597091971e-05
97,0.0001,0.00015299658017201264,4.204627657600213e-05,5.921920637774747e-05,5.782001790066715e-05,3.393815950403223e-05
98,0.0001,0.00015418367602802445,9.053697067429312e-05,5.6794633565004915e-05,0.00033760477890609764,3.7616528061334975e-05
99,0.0001,0.00023788413521039976,7.20434600225417e-05,5.8769885981746484e-05,0.0002188007019867655,3.9028959690767806e-05
100,0.0001,0.00017303568551362719,7.106680277502164e-05,5.5333663112833165e-05,0.0002493649662937969,2.9013636321906233e-05
101,0.0001,0.0001740672787215744,4.618054026650498e-05,5.549541310756467e-05,9.137314191320911e-05,3.1726217002869816e-05
102,0.0001,0.00017671943692910259,0.00011270560571574606,5.4098290092952084e-05,0.00046078279410721734,4.0731839362706523e-05
103,0.0001,0.00021833626493444723,5.173206864128588e-05,6.026056325936224e-05,9.273304840462515e-05,4.125599207327468e-05
104,0.0001,0.00021917420797928406,4.2095926801266614e-05,5.5981852710829116e-05,5.727222469431581e-05,3.584802743716864e-05
105,0.0001,0.00020403654883866142,7.21268243069062e-05,5.1324179366929457e-05,0.00025584645482013,3.0408156362682348e-05
106,0.0001,0.00019283017812113306,8.738459928281372e-05,5.478141065395903e-05,0.00033985613481490873,3.219381960661849e-05
107,0.0001,0.00019546772141025443,6.983096955082146e-05,4.628732949640835e-05,0.00024533468604204245,3.1419283914146945e-05
108,0.0001,0.0001811962021306637,3.3345515021210304e-05,4.817477110918844e-05,4.992118283553282e-05,2.4004690203582868e-05
109,0.0001,0.00017497089494568309,5.906540263822535e-05,5.15926244588627e-05,0.00019726633763639256,2.5483752779109636e-05
110,0.0001,0.00015607661947742048,3.8880022657394875e-05,4.712296140496619e-05,8.465607652397011e-05,2.390568488408462e-05
111,0.0001,0.00016357925679502924,4.234426160110161e-05,4.91036707899184e-05,8.399374291911954e-05,2.9946123504487332e-05
112,0.0001,0.00017260399225492483,3.6263891161070205e-05,4.564577147903037e-05,6.884820777486311e-05,2.4370395294681657e-05
113,0.0001,0.00017761607512401304,4.106865571884555e-05,4.726464385385043e-05,9.819206707106787e-05,2.3057333237375133e-05
114,0.0001,0.00020286402016636478,3.618670234573074e-05,4.1052684537135065e-05,4.946642820868874e-05,3.1750751986692194e-05
115,0.0001,0.00022645011951240258,0.00014988583643571474,5.256903386907652e-05,0.0006839003835921176,4.236397580825724e-05
116,0.0001,0.00021817151211893582,4.6296567234094255e-05,4.552697191684274e-05,0.00010462482350703795,3.12820375256706e-05
117,0.0001,0.00017808801721636854,3.937848759960616e-05,4.492125208344078e-05,7.288164124474861e-05,2.9652906505361898e-05
118,0.0001,0.00020456008761274543,4.143858313909732e-05,4.879903917753836e-05,0.00010333147019991884,2.2939304926694604e-05
119,0.0001,0.00018562492043587775,5.391686954681063e-05,4.341900239523966e-05,0.0001479135771660367,3.333603171995492e-05
120,0.0001,0.00018004923119654202,4.335322773840744e-05,4.163205358054256e-05,0.0001145103797171032,2.397057187408791e-05
121,0.0001,0.00017438027944907927,3.981592544732848e-05,4.228031775710406e-05,9.636630784370936e-05,2.3739734842820326e-05
122,0.0001,0.0001986904448351583,4.579795768222539e-05,4.3822733459819574e-05,0.0001248858125109109,2.545991037550266e-05
123,0.0001,0.00014101275453206406,0.00018831532361218706,4.22179859924654e-05,0.0009332616609754041,3.830262994597433e-05
124,0.0001,0.00028457487915699005,7.709212150075473e-05,4.4624189285968896e-05,0.0002878548184526153,3.256684067309834e-05
125,0.0001,0.00020271949291451494,3.601449270718149e-05,4.3967694637103705e-05,5.800847884529503e-05,2.7552348456083564e-05
126,0.0001,0.00017574407921170914,5.073787360743154e-05,4.1267929645982804e-05,0.0001603877062734682,2.4092224066407653e-05
127,0.0001,0.00018371633880385409,3.132713391096331e-05,3.960743515563081e-05,4.978068591299234e-05,2.352799037907971e-05
128,0.0001,0.00023768728875218199,6.306250543275382e-05,3.7654257994290674e-05,0.00023094669813872315,2.640434149725479e-05
129,0.0001,0.00017599606375866145,3.305587961222045e-05,3.617003221734194e-05,6.0472746554296464e-05,2.4144129383785184e-05
130,0.0001,0.00017119310001417585,3.297651801403845e-05,3.6207529319653986e-05,4.597342103807023e-05,2.9288205951161217e-05
131,0.0001,0.00019244289818964194,3.1287527690437855e-05,3.463743723841617e-05,5.352838616090594e-05,2.379633087912225e-05
132,0.0001,0.00019409167174616772,7.156866922741756e-05,4.1275552575825714e-05,0.000300377891107928,2.016682765315636e-05
133,0.0001,0.00023306206761238477,0.00016188264271477237,4.683180941356113e-05,0.0008204135665437207,2.5923637622327078e-05
134,0.0001,0.00022310198437480722,2.752444561338052e-05,3.579981603252236e-05,4.012787303508958e-05,2.0802679500775412e-05
135,0.0001,0.00015098167723132946,3.725232909346232e-05,3.427829278734862e-05,9.690026854514144e-05,2.1761114567198092e-05
136,0.0001,0.00018431925844087152,3.18638167300378e-05,3.2429531529487576e-05,5.776078251074068e-05,2.4450827368127648e-05
137,0.0001,0.00018042085679498445,4.807554250874091e-05,3.291233269919758e-05,0.00015434286615345627,2.3970620986801805e-05
138,0.0001,0.00017295056954246706,4.997021096642129e-05,3.049417091460782e-05,0.00016580407464061864,2.4939213744801236e-05
139,0.0001,0.00018233716924221494,4.0805176467983983e-05,2.9856685159757035e-05,0.00012006664292130154,2.2471490865427768e-05
140,0.0001,0.00018745666338046166,0.00012278565918677486,3.5398245472606504e-05,0.0005915372603340074,2.653827687026933e-05
141,0.0001,0.00013022494975743803,4.5849383241147734e-05,3.36484072249732e-05,0.00015240065658872481,2.0812298771488713e-05
142,0.0001,0.00018819861008633973,3.912313013643143e-05,2.8295328775129747e-05,0.0001115745058086759,2.2415388230001554e-05
143,0.0001,0.0001620867353653232,3.3857381822599564e-05,2.5620664928283077e-05,7.186127641034545e-05,2.546180849094526e-05
144,0.0001,0.00019101220983209328,4.469653231353732e-05,2.490240785846254e-05,0.00012306421194807626,3.09264046336466e-05
145,0.0001,0.00019680549815926827,3.0244919798860792e-05,3.434105929045472e-05,5.592707657342544e-05,2.1708581243728986e-05
146,0.0001,0.00014694899299215513,2.80348076557857e-05,2.7704187232302502e-05,5.133047625349718e-05,2.088460360027966e-05
147,0.0001,0.00015680206651626523,2.4720104647713015e-05,3.1255302019417286e-05,3.2750037462392356e-05,1.9706900502569624e-05
148,0.0001,0.00021974847643860178,6.250033493415685e-05,2.5054651814571116e-05,0.00022768277995055541,3.0466481348412344e-05
149,0.0001,0.00018459153089321316,3.5203648621973116e-05,2.944221796497004e-05,8.994703421194572e-05,2.1487419871846214e-05
150,0.0001,0.00015178160108255477,2.6792496100824792e-05,2.8737961656588595e-05,3.2262034437735565e-05,2.5027647552633425e-05
151,0.0001,0.00023655417283986355,3.767891030292958e-05,3.406853556953138e-05,6.410652713384479e-05,3.454580382822314e-05
152,0.0001,0.00019167975562705772,0.00014808026571699884,3.803635127042071e-05,0.0007576240823254921,2.255088793390314e-05
153,0.0001,0.00014362739167347283,3.003188930961187e-05,2.6417563731229166e-05,7.759122581774136e-05,1.6988725974442787e-05
154,0.0001,0.0001298953635396725,2.6000034267781302e-05,2.5047469534911215e-05,5.1185901611461304e-05,1.8225046233055764e-05
155,0.0001,0.00015509996724590152,2.6723152586782817e-05,2.6374600111012114e-05,5.040355790697504e-05,1.970672565221321e-05
156,0.0001,0.0001437360676363548,4.755880854645511e-05,2.875210157071706e-05,0.00017225892224814743,1.9573393728933297e-05
157,0.0001,0.00018304602197145647,4.146644550928613e-05,2.5502261905785417e-05,0.00011717742199834902,2.7061766559199896e-05
158,0.0001,0.00018856182583531887,9.27259407035308e-05,2.5638536953920266e-05,0.0004418885800987482,2.1218562778813066e-05
