X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.051,0.026,0.011,21.391,151737.188,5.447,52.000
0.048,0.000,0.004,21.698,29557.352,1.016,52.000
0.051,0.022,0.011,19.611,155181.656,6.178,52.000
0.002,0.012,0.013,23.298,77255.961,5.503,52.000
0.049,0.017,0.013,20.583,159325.375,7.369,52.000
0.048,0.018,0.012,20.286,189190.344,7.365,52.000
0.043,0.001,0.006,21.172,133417.000,2.092,52.000
0.044,0.000,0.003,16.380,55436.727,3.522,52.000
0.050,0.010,0.014,23.295,147717.125,6.565,52.000
0.051,0.007,0.012,19.281,137436.625,4.232,52.000
0.049,0.008,0.014,19.287,176315.344,6.143,52.000
0.097,0.012,0.012,21.111,89371.117,4.088,52.000
0.050,0.000,0.005,24.996,-9654.625,1.022,52.000
0.051,0.011,0.012,20.004,189766.625,8.099,52.000
0.048,0.009,0.011,18.606,117306.336,6.247,52.000
0.050,0.003,0.011,21.905,164228.969,2.992,52.000
0.044,0.001,0.018,24.545,104205.133,1.440,52.000
0.050,0.022,0.014,19.982,98541.680,5.712,52.000
0.051,0.017,0.011,19.275,193735.625,7.200,52.000
0.046,0.002,0.009,20.315,172596.156,3.514,52.000
0.056,0.001,0.012,20.216,136956.281,1.922,52.000
0.099,0.013,0.011,20.598,48539.195,6.133,52.000
0.048,0.009,0.012,18.579,122483.805,5.816,52.000
0.051,0.026,0.011,21.618,153495.625,5.394,52.000
0.047,0.000,0.004,21.373,30739.195,-0.723,52.000
0.050,0.020,0.012,19.440,191992.844,7.016,52.000
0.048,0.008,0.010,18.392,129830.477,5.091,52.000
0.051,0.018,0.013,19.257,177765.562,8.104,52.000
0.052,0.001,0.012,21.326,128222.477,2.399,52.000
0.098,0.011,0.013,20.265,102094.305,3.757,52.000
0.052,0.014,0.012,19.347,159402.688,8.397,52.000
0.051,0.000,0.005,23.712,26988.789,0.952,52.000
0.050,0.001,0.015,24.918,133953.906,1.880,52.000
0.052,0.000,0.020,20.235,-16437.961,2.733,52.000
0.049,0.016,0.013,19.998,161780.062,7.612,52.000
0.047,0.001,0.013,18.067,179962.156,2.043,52.000
0.050,0.008,0.014,21.983,179985.094,7.267,52.000
0.048,0.001,0.011,21.625,170850.562,3.062,52.000
0.052,0.006,0.011,19.638,139499.719,3.392,52.000
0.051,0.016,0.014,20.496,131151.938,6.949,52.000
0.049,0.010,0.011,18.292,134159.125,6.577,52.000
0.048,0.002,0.007,21.309,109804.977,2.947,52.000
0.048,0.020,0.013,20.537,139782.312,6.609,52.000
0.047,0.001,0.016,23.675,137044.469,2.740,52.000
0.051,0.021,0.013,18.232,151968.469,7.060,52.000
0.049,0.022,0.014,20.262,122458.898,6.220,52.000
0.050,0.023,0.011,20.744,163169.500,6.199,52.000
0.044,0.001,0.019,22.485,123073.477,2.269,52.000
0.051,0.026,0.010,22.111,151803.625,5.072,52.000
0.046,0.001,0.012,26.147,24765.727,1.590,52.000
0.048,0.001,0.001,18.664,99607.961,0.762,52.000
0.049,0.025,0.012,20.422,167529.625,7.050,52.000
0.052,0.001,0.019,19.941,103204.805,2.486,52.000
0.051,0.017,0.011,19.255,189578.000,7.317,52.000
0.049,0.018,0.014,20.039,126823.273,6.350,52.000
0.051,0.025,0.011,21.115,152314.438,5.555,52.000
0.047,0.001,0.007,24.366,25339.898,1.633,52.000
0.050,0.001,0.004,20.560,94031.758,1.303,52.000
0.044,0.001,0.011,20.064,147836.031,1.959,52.000
0.056,0.000,0.010,25.249,-20383.156,-1.149,52.000
