X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.052,0.006,0.012,18.995,262408.500,7.395,68.000
0.056,0.000,0.015,24.912,15984.555,-1.620,68.000
0.049,0.020,0.013,19.774,270220.469,9.870,68.000
0.052,0.026,0.013,23.688,242302.250,9.338,68.000
0.050,0.000,0.007,23.162,16833.734,2.014,68.000
0.055,0.001,0.004,26.970,-178120.859,-0.945,68.000
0.099,0.012,0.011,19.375,199924.062,7.005,68.000
0.052,0.000,0.014,28.692,6454.555,0.776,68.000
0.043,0.000,0.019,23.046,-3269.711,-0.327,68.000
0.059,0.001,0.017,19.464,149819.469,0.875,68.000
0.050,0.005,0.012,20.294,248842.469,6.784,68.000
0.048,0.011,0.013,21.327,227754.156,6.769,68.000
0.046,0.001,0.013,26.749,116703.227,2.387,68.000
0.050,0.001,0.007,21.508,181526.625,2.452,68.000
0.050,0.001,0.022,20.754,160540.312,2.210,68.000
0.046,0.001,0.010,25.849,49055.758,1.185,68.000
0.049,0.001,0.004,22.589,167140.562,2.229,68.000
0.047,0.000,0.018,25.743,33251.414,0.600,68.000
0.056,0.001,0.010,21.993,231012.406,2.843,68.000
0.050,0.022,0.014,20.350,263618.062,9.129,68.000
0.047,0.001,0.007,21.332,184066.062,2.370,68.000
0.050,0.008,0.010,19.546,275246.438,6.917,68.000
0.048,0.001,0.019,22.145,214463.938,3.257,68.000
0.047,0.001,0.020,21.910,178615.844,2.475,68.000
0.057,0.000,0.009,22.342,-75865.789,1.958,68.000
0.056,0.000,0.018,21.096,14982.609,1.116,68.000
0.051,0.007,0.011,20.305,263937.906,8.277,68.000
0.051,0.011,0.012,21.344,241647.406,8.294,68.000
0.041,0.000,0.009,18.495,2980.516,-0.205,68.000
0.047,0.001,0.017,21.952,274787.875,4.472,68.000
0.040,0.001,0.011,19.351,171929.031,2.179,68.000
0.049,0.001,0.004,22.946,142580.250,1.903,68.000
0.050,0.001,0.013,31.937,17518.062,0.375,68.000
0.057,0.001,0.014,21.411,213414.469,2.922,68.000
0.049,0.000,0.015,29.723,61523.555,0.450,68.000
0.048,0.012,0.012,21.651,239862.906,7.886,68.000
0.048,0.010,0.012,21.988,224645.594,7.189,68.000
0.048,0.014,0.013,20.586,242545.844,8.745,68.000
0.051,0.015,0.014,18.464,268202.312,7.909,68.000
0.045,0.000,0.018,23.130,-2335.156,-1.456,68.000
0.051,0.014,0.011,21.890,223428.125,8.044,68.000
0.051,0.026,0.014,24.154,236116.062,9.683,68.000
0.053,0.000,0.013,28.064,-9257.492,1.745,68.000
0.049,0.001,0.013,24.198,218268.250,4.583,68.000
0.056,0.001,0.011,21.319,235190.906,2.571,68.000
0.049,0.003,0.011,20.306,256774.375,6.233,68.000
0.047,0.002,0.007,19.935,214855.031,2.744,68.000
0.050,0.008,0.014,19.403,222070.219,6.108,68.000
0.051,0.014,0.013,21.496,244825.094,8.275,68.000
0.057,0.001,0.009,22.434,201391.156,1.617,68.000
0.050,0.009,0.013,20.694,230445.375,7.381,68.000
0.051,0.026,0.011,22.181,246508.656,6.857,68.000
0.050,0.024,0.013,21.416,266790.156,8.888,68.000
0.052,0.000,0.010,30.747,29129.930,3.043,68.000
0.052,0.004,0.012,18.803,271499.094,6.214,68.000
0.051,0.024,0.012,22.482,250750.219,7.429,68.000
0.053,0.001,0.022,22.915,29997.773,0.341,68.000
0.050,0.020,0.014,18.216,271419.531,9.027,68.000
0.051,0.001,0.007,23.040,151728.156,1.823,68.000
0.049,0.018,0.012,21.953,237107.719,9.317,68.000
0.048,0.015,0.014,19.872,251190.688,8.677,68.000
0.051,0.006,0.013,18.764,237608.062,7.206,68.000
0.055,0.001,0.008,22.275,201542.562,2.842,68.000
0.052,0.004,0.013,18.241,261051.906,6.537,68.000
0.044,0.001,0.014,20.319,213365.594,4.584,68.000
0.050,0.019,0.014,17.993,274878.188,8.990,68.000
0.052,0.001,0.005,25.074,55720.336,0.760,68.000
0.053,0.001,0.016,27.631,61052.711,0.707,68.000
0.047,0.000,0.014,29.630,-2686.734,-1.834,68.000
0.047,0.000,0.013,30.963,-17545.406,-1.713,68.000
0.048,0.012,0.012,21.468,244588.188,8.221,68.000
0.051,0.021,0.012,22.118,233374.781,6.908,68.000
0.052,0.016,0.011,22.725,223144.906,7.620,68.000
0.049,0.002,0.013,19.743,231110.812,6.374,68.000
0.060,0.000,0.013,20.894,79965.180,0.945,68.000
0.048,0.010,0.012,21.829,223178.000,6.922,68.000
0.049,0.008,0.012,21.543,240192.938,8.114,68.000
0.049,0.012,0.011,22.057,246384.469,8.122,68.000
0.052,0.017,0.013,21.417,248629.656,7.814,68.000
0.045,0.000,0.018,26.547,46288.383,-0.499,68.000
0.051,0.026,0.013,22.806,265616.562,9.493,68.000
0.060,0.001,0.015,17.676,183127.219,1.401,68.000
0.051,0.005,0.011,19.725,272522.562,7.055,68.000
0.048,0.002,0.011,19.911,255367.156,6.006,68.000
0.056,0.000,0.014,27.269,16191.688,-0.662,68.000
0.042,0.000,0.014,24.920,-30442.141,-2.173,68.000
0.050,0.009,0.015,19.127,220528.188,6.065,68.000
0.050,0.023,0.012,21.218,270255.625,8.112,68.000
0.050,0.012,0.013,20.477,237310.406,7.664,68.000
0.053,0.000,0.010,28.735,-27391.820,2.037,68.000
0.045,0.002,0.007,19.988,212345.031,2.449,68.000
0.058,0.001,0.015,19.528,173115.719,2.280,68.000
0.053,0.001,0.007,22.958,160024.000,1.938,68.000
0.050,0.000,0.022,23.692,2679.047,-0.535,68.000
0.050,0.019,0.012,21.240,245457.844,9.003,68.000
0.051,0.004,0.013,18.166,245783.781,6.755,68.000
0.050,0.006,0.012,20.196,261802.750,7.865,68.000
0.056,0.000,0.010,24.529,11707.609,2.953,68.000
0.051,0.026,0.010,20.413,257312.625,5.612,68.000
0.055,0.002,0.015,21.967,249278.438,3.184,68.000
0.100,0.011,0.012,17.821,3144.383,8.042,68.000
0.045,0.000,0.008,29.517,-111475.922,1.065,68.000
0.050,0.008,0.010,19.931,278180.781,7.021,68.000
0.049,0.009,0.010,21.174,275229.969,7.642,68.000
0.053,0.000,0.017,26.490,-10725.805,1.259,68.000
0.049,0.010,0.015,18.814,235616.031,6.360,68.000
0.046,0.001,0.020,21.829,206880.938,3.251,68.000
0.052,0.016,0.012,22.528,235067.062,7.693,68.000
0.058,0.001,0.019,19.327,185539.906,1.371,68.000
0.051,0.001,0.019,23.050,185531.906,2.548,68.000
0.052,0.001,0.022,20.962,125129.805,0.811,68.000
0.048,0.009,0.013,20.750,228669.469,6.405,68.000
0.055,0.000,0.020,20.289,-21821.375,2.152,68.000
0.055,0.000,0.017,26.868,-31473.133,0.092,68.000
0.056,0.002,0.007,21.153,188567.500,2.952,68.000
0.049,0.012,0.012,21.882,239313.938,8.297,68.000
0.047,0.001,0.013,26.797,152658.031,3.090,68.000
0.051,0.019,0.012,22.094,236837.344,8.033,68.000
0.059,0.000,0.010,19.144,-6464.914,1.842,68.000
0.056,0.000,0.012,25.938,-66162.281,1.530,68.000
0.050,0.024,0.012,21.276,272597.719,7.995,68.000
0.056,0.000,0.008,19.180,1303.359,2.165,68.000
0.059,0.001,0.015,20.104,105191.836,1.094,68.000
0.048,0.004,0.011,20.785,242607.406,6.140,68.000
0.052,0.005,0.011,18.305,288551.688,6.377,68.000
0.055,0.000,0.017,25.309,5146.820,-0.595,68.000
0.052,0.006,0.014,18.375,225531.625,6.182,68.000
0.099,0.011,0.012,18.473,211376.125,7.432,68.000
0.098,0.012,0.011,17.159,212516.688,8.614,68.000
0.050,0.005,0.010,18.793,285372.875,5.884,68.000
0.052,0.026,0.012,23.142,248894.531,7.503,68.000
0.054,0.000,0.009,32.231,20188.617,2.704,68.000
0.052,0.005,0.012,18.668,274058.938,6.342,68.000
0.051,0.024,0.012,22.325,250247.000,8.081,68.000
0.099,0.012,0.011,17.131,220355.188,8.335,68.000
0.051,0.006,0.014,18.481,206732.594,5.153,68.000
0.097,0.014,0.012,20.791,189855.438,7.768,68.000
0.052,0.016,0.014,19.531,266310.188,7.931,68.000
0.042,0.000,0.017,24.345,17517.008,1.034,68.000
0.044,0.001,0.013,23.303,186477.969,3.939,68.000
0.051,0.005,0.014,17.858,224737.750,6.387,68.000
0.049,0.004,0.010,19.402,272650.312,5.890,68.000
0.049,0.013,0.011,21.987,227765.469,8.801,68.000
0.044,0.001,0.014,22.140,182877.938,3.209,68.000
0.050,0.017,0.011,22.235,217027.250,7.486,68.000
0.041,0.001,0.017,19.961,137442.844,2.484,68.000
0.051,0.018,0.013,21.063,241751.531,8.667,68.000
0.001,0.012,0.011,18.542,225976.469,5.674,68.000
0.043,0.001,0.014,24.663,69188.289,-0.310,68.000
0.049,0.021,0.011,20.298,267162.531,7.411,68.000
0.047,0.001,0.022,20.173,176421.219,2.689,68.000
0.051,0.000,0.003,21.993,-56306.004,-0.191,68.000
0.050,0.023,0.010,19.916,263656.906,5.207,68.000
0.049,0.003,0.013,20.100,219103.312,6.326,68.000
0.051,0.018,0.012,22.113,230700.656,8.628,68.000
0.048,0.026,0.011,20.264,287640.562,6.133,68.000
0.051,0.001,0.003,22.595,127686.367,2.216,68.000
0.050,0.021,0.014,19.053,270364.250,9.336,68.000
0.051,0.014,0.010,21.358,237950.344,7.587,68.000
0.049,0.019,0.010,21.191,238869.281,6.952,68.000
0.048,0.009,0.011,22.112,234698.406,7.668,68.000
0.055,0.000,0.017,26.889,-5167.938,0.040,68.000
0.051,0.004,0.012,19.525,259379.469,6.229,68.000
0.050,0.008,0.012,21.496,252685.812,8.455,68.000
0.055,0.001,0.013,23.724,239948.062,3.261,68.000
0.045,0.001,0.012,22.994,174579.500,4.069,68.000
0.056,0.002,0.011,21.067,249325.812,3.533,68.000
0.055,0.001,0.018,23.274,120714.414,1.568,68.000
0.050,0.008,0.013,19.920,232557.656,7.634,68.000
0.049,0.012,0.010,22.373,264096.438,7.404,68.000
0.051,0.006,0.014,18.511,217889.062,6.089,68.000
0.051,0.003,0.013,19.496,243416.688,6.370,68.000
0.099,0.013,0.012,20.721,133497.938,6.751,68.000
0.049,0.008,0.012,21.752,225833.594,7.693,68.000
0.053,0.000,0.021,23.547,-34542.469,-1.430,68.000
0.058,0.001,0.010,20.970,220903.406,1.526,68.000
0.054,0.000,0.015,28.375,-78299.484,-1.152,68.000
0.051,0.022,0.010,20.657,258752.000,4.758,68.000
0.050,0.000,0.007,22.047,34248.133,-0.067,68.000
0.049,0.019,0.014,19.042,275354.469,9.235,68.000
0.050,0.018,0.010,21.552,238143.969,6.654,68.000
