X,Y,Z,Temperature_C,Pressure_Pa,V_Mag_ms,Power_W_Input
0.051,0.026,0.011,20.799,112699.461,5.985,60.000
0.048,0.000,0.004,20.485,40867.414,0.890,60.000
0.051,0.022,0.011,19.615,113716.133,6.493,60.000
0.002,0.012,0.013,22.723,87432.148,3.947,60.000
0.049,0.017,0.013,18.678,108745.242,6.508,60.000
0.048,0.018,0.012,18.536,146788.344,7.030,60.000
0.043,0.001,0.006,23.229,77524.789,0.809,60.000
0.044,0.000,0.003,17.058,79745.648,3.280,60.000
0.050,0.010,0.014,20.075,91715.617,4.057,60.000
0.051,0.007,0.012,19.745,94787.633,3.283,60.000
0.049,0.008,0.014,18.015,102633.867,3.182,60.000
0.097,0.012,0.012,21.947,68041.070,3.491,60.000
0.050,0.000,0.005,23.604,-2136.344,0.822,60.000
0.051,0.011,0.012,24.146,169011.094,4.492,60.000
0.048,0.009,0.011,20.147,83265.523,5.346,60.000
0.050,0.003,0.011,22.750,133874.875,2.807,60.000
0.044,0.001,0.018,21.838,85399.023,-0.058,60.000
0.050,0.022,0.014,19.144,84439.352,5.069,60.000
0.051,0.017,0.011,19.770,120144.164,6.728,60.000
0.046,0.002,0.009,22.064,89459.773,1.196,60.000
0.056,0.001,0.012,21.287,128745.117,1.260,60.000
0.099,0.013,0.011,20.067,54741.961,5.301,60.000
0.048,0.009,0.012,17.883,80706.617,3.948,60.000
0.051,0.026,0.011,20.976,114268.023,5.911,60.000
0.047,0.000,0.004,21.496,30229.227,-1.273,60.000
0.050,0.020,0.012,18.946,132525.344,6.444,60.000
0.048,0.008,0.010,19.687,102538.680,5.790,60.000
0.051,0.018,0.013,19.986,120073.367,6.671,60.000
0.052,0.001,0.012,26.612,122790.195,0.066,60.000
0.098,0.011,0.013,21.112,75937.398,2.948,60.000
0.052,0.014,0.012,21.857,123219.945,6.275,60.000
0.051,0.000,0.005,23.416,19554.453,0.985,60.000
0.050,0.001,0.015,26.182,146769.406,0.888,60.000
0.052,0.000,0.020,19.788,1713.984,0.855,60.000
0.049,0.016,0.013,19.272,108219.648,6.095,60.000
0.047,0.001,0.013,21.292,179165.938,2.627,60.000
0.050,0.008,0.014,21.102,88148.914,3.479,60.000
0.048,0.001,0.011,24.044,122086.227,2.110,60.000
0.052,0.006,0.011,19.925,120587.008,3.350,60.000
0.051,0.016,0.014,20.124,88090.055,5.003,60.000
0.049,0.010,0.011,20.122,89706.164,4.788,60.000
0.048,0.002,0.007,21.395,90980.805,0.683,60.000
0.048,0.020,0.013,18.806,113608.258,6.008,60.000
0.047,0.001,0.016,20.712,156724.125,1.388,60.000
0.051,0.021,0.013,19.541,111102.258,5.954,60.000
0.049,0.022,0.014,19.225,102450.539,5.654,60.000
0.050,0.023,0.011,19.659,120886.070,6.519,60.000
0.044,0.001,0.019,19.059,114780.367,0.500,60.000
0.051,0.026,0.010,21.587,111773.898,5.376,60.000
0.046,0.001,0.012,28.945,36988.023,0.357,60.000
0.048,0.001,0.001,21.201,65376.180,0.286,60.000
0.049,0.025,0.012,19.384,115444.930,6.445,60.000
0.052,0.001,0.019,20.234,104497.961,0.929,60.000
0.051,0.017,0.011,19.648,125010.961,6.979,60.000
0.049,0.018,0.014,18.251,101536.961,5.785,60.000
0.051,0.025,0.011,20.680,111711.133,6.030,60.000
0.047,0.001,0.007,24.458,34851.617,-0.130,60.000
0.050,0.001,0.004,21.722,62433.445,-0.250,60.000
0.044,0.001,0.011,23.775,100073.789,1.020,60.000
0.056,0.000,0.010,26.496,-25210.984,-0.969,60.000
0.050,0.000,0.021,20.425,-13302.992,1.783,60.000
0.049,0.008,0.015,20.488,98310.539,3.454,60.000
0.050,0.018,0.012,19.234,135952.375,7.103,60.000
0.051,0.009,0.015,21.813,90776.305,3.817,60.000
0.001,0.013,0.012,23.195,124659.820,4.167,60.000
0.049,0.025,0.010,21.511,105171.836,5.749,60.000
0.099,0.012,0.011,20.586,66129.508,5.418,60.000
0.051,0.012,0.014,20.502,104309.586,4.148,60.000
0.054,0.000,0.013,36.071,-51966.254,2.693,60.000
0.049,0.024,0.013,19.375,114501.695,6.285,60.000
0.050,0.000,0.011,29.201,18821.016,0.325,60.000
0.054,0.001,0.019,20.150,106091.492,0.850,60.000
0.043,0.001,0.019,17.332,90563.711,0.748,60.000
0.050,0.009,0.011,18.956,89376.648,5.299,60.000
0.058,0.001,0.018,19.178,78931.055,0.334,60.000
0.048,0.000,0.012,31.708,-37876.773,-0.770,60.000
0.049,0.007,0.010,19.232,111758.070,5.211,60.000
0.045,0.002,0.016,19.946,147590.469,1.189,60.000
0.050,0.000,0.009,31.403,-73611.125,-1.612,60.000
0.043,0.001,0.014,19.575,121904.039,0.580,60.000
0.049,0.010,0.012,20.877,109592.633,4.712,60.000
0.049,0.025,0.014,18.726,98385.258,6.330,60.000
0.048,0.002,0.012,21.563,186598.844,3.644,60.000
0.047,0.000,0.021,20.201,14712.055,0.564,60.000
0.045,0.001,0.013,22.564,121290.852,0.720,60.000
0.047,0.001,0.018,22.070,136429.344,0.520,60.000
0.051,0.000,0.002,21.194,1407.578,-0.949,60.000
0.045,0.001,0.011,23.751,117691.289,2.230,60.000
0.041,0.000,0.011,26.364,-11267.133,0.063,60.000
0.054,0.001,0.014,27.517,112995.836,-1.945,60.000
0.056,0.001,0.003,22.779,11944.852,0.639,60.000
0.049,0.001,0.010,24.084,113689.742,1.435,60.000
0.045,0.000,0.014,29.496,-59343.062,-2.727,60.000
0.050,0.025,0.012,19.266,105956.086,6.291,60.000
0.045,0.001,0.015,26.104,56944.898,-1.582,60.000
0.049,0.021,0.012,18.693,136705.906,6.660,60.000
0.049,0.018,0.013,19.092,127066.336,6.911,60.000
0.050,0.017,0.010,19.733,99399.070,6.764,60.000
0.049,0.014,0.014,19.131,97527.727,5.408,60.000
0.052,0.002,0.011,23.053,118798.383,1.231,60.000
0.058,0.001,0.011,17.897,146803.312,1.236,60.000
0.049,0.009,0.014,18.358,90427.398,3.469,60.000
0.047,0.002,0.017,21.193,145060.188,1.091,60.000
