Target_Velocity_ms,Target_Power_W,Max_Temperature_C,Max_Pressure_Pa,Max_Velocity_ms
6.300,52.000,36.053,280689.906,13.165
7.800,68.000,35.268,346211.156,15.194
5.500,60.000,38.131,215791.156,10.749
